[0.016s][info][class,load] opened: C:\Program Files\Microsoft\jdk-11.0.26.4-hotspot\lib\modules
[0.043s][info][class,load] java.lang.Object source: shared objects file
[0.043s][info][class,load] java.io.Serializable source: shared objects file
[0.043s][info][class,load] java.lang.Comparable source: shared objects file
[0.043s][info][class,load] java.lang.CharSequence source: shared objects file
[0.044s][info][class,load] java.lang.String source: shared objects file
[0.044s][info][class,load] java.lang.reflect.AnnotatedElement source: shared objects file
[0.044s][info][class,load] java.lang.reflect.GenericDeclaration source: shared objects file
[0.044s][info][class,load] java.lang.reflect.Type source: shared objects file
[0.044s][info][class,load] java.lang.Class source: shared objects file
[0.045s][info][class,load] java.lang.Cloneable source: shared objects file
[0.045s][info][class,load] java.lang.ClassLoader source: shared objects file
[0.045s][info][class,load] java.lang.System source: shared objects file
[0.045s][info][class,load] java.lang.Throwable source: shared objects file
[0.045s][info][class,load] java.lang.Error source: shared objects file
[0.045s][info][class,load] java.lang.ThreadDeath source: shared objects file
[0.045s][info][class,load] java.lang.Exception source: shared objects file
[0.045s][info][class,load] java.lang.RuntimeException source: shared objects file
[0.045s][info][class,load] java.lang.SecurityManager source: shared objects file
[0.045s][info][class,load] java.security.ProtectionDomain source: shared objects file
[0.046s][info][class,load] java.security.AccessControlContext source: shared objects file
[0.046s][info][class,load] java.security.SecureClassLoader source: shared objects file
[0.046s][info][class,load] java.lang.ReflectiveOperationException source: shared objects file
[0.046s][info][class,load] java.lang.ClassNotFoundException source: shared objects file
[0.046s][info][class,load] java.lang.LinkageError source: shared objects file
[0.046s][info][class,load] java.lang.NoClassDefFoundError source: shared objects file
[0.046s][info][class,load] java.lang.ClassCastException source: shared objects file
[0.046s][info][class,load] java.lang.ArrayStoreException source: shared objects file
[0.046s][info][class,load] java.lang.VirtualMachineError source: shared objects file
[0.046s][info][class,load] java.lang.OutOfMemoryError source: shared objects file
[0.046s][info][class,load] java.lang.StackOverflowError source: shared objects file
[0.046s][info][class,load] java.lang.IllegalMonitorStateException source: shared objects file
[0.046s][info][class,load] java.lang.ref.Reference source: shared objects file
[0.046s][info][class,load] java.lang.ref.SoftReference source: shared objects file
[0.046s][info][class,load] java.lang.ref.WeakReference source: shared objects file
[0.046s][info][class,load] java.lang.ref.FinalReference source: shared objects file
[0.046s][info][class,load] java.lang.ref.PhantomReference source: shared objects file
[0.046s][info][class,load] java.lang.ref.Finalizer source: shared objects file
[0.046s][info][class,load] java.lang.Runnable source: shared objects file
[0.046s][info][class,load] java.lang.Thread source: shared objects file
[0.047s][info][class,load] java.lang.Thread$UncaughtExceptionHandler source: shared objects file
[0.047s][info][class,load] java.lang.ThreadGroup source: shared objects file
[0.047s][info][class,load] java.util.Dictionary source: shared objects file
[0.047s][info][class,load] java.util.Map source: shared objects file
[0.047s][info][class,load] java.util.Hashtable source: shared objects file
[0.047s][info][class,load] java.util.Properties source: shared objects file
[0.047s][info][class,load] java.lang.Module source: shared objects file
[0.047s][info][class,load] java.lang.reflect.AccessibleObject source: shared objects file
[0.047s][info][class,load] java.lang.reflect.Member source: shared objects file
[0.047s][info][class,load] java.lang.reflect.Field source: shared objects file
[0.048s][info][class,load] java.lang.reflect.Parameter source: shared objects file
[0.048s][info][class,load] java.lang.reflect.Executable source: shared objects file
[0.048s][info][class,load] java.lang.reflect.Method source: shared objects file
[0.048s][info][class,load] java.lang.reflect.Constructor source: shared objects file
[0.048s][info][class,load] jdk.internal.reflect.MagicAccessorImpl source: shared objects file
